epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,427.254,0.80129,1.38005,2.11721,0.846,0.8104,0.86959,0.82834,0.74861,1.14457,1.75963,0.000742625,0.000742625,0.000742625
43,437.349,0.80924,1.28955,2.13345,0.82631,0.86787,0.90064,0.78868,1.04451,1.14054,2.02513,0.00073025,0.00073025,0.00073025
44,447.438,0.81108,1.30569,2.12384,0.83994,0.83072,0.86606,0.81982,0.70736,1.10204,1.78013,0.000717875,0.000717875,0.000717875
45,457.539,0.83674,1.34904,2.13608,0.87248,0.76736,0.86733,0.83106,0.70849,1.16547,1.73637,0.0007055,0.0007055,0.0007055
46,467.635,0.81467,1.37124,2.12861,0.74294,0.83877,0.878,0.79993,0.79929,1.31583,1.76817,0.000693125,0.000693125,0.000693125
47,477.758,0.75229,1.2615,2.07648,0.74144,0.78588,0.84593,0.81002,0.72528,1.24995,1.82477,0.00068075,0.00068075,0.00068075
48,487.87,0.77265,1.18566,2.10106,0.79561,0.78495,0.83559,0.79482,0.7451,1.29822,1.74858,0.000668375,0.000668375,0.000668375
49,497.991,0.76899,1.23334,2.08526,0.791,0.87916,0.88625,0.81055,0.77925,1.11023,1.68928,0.000656,0.000656,0.000656
50,508.101,0.76739,1.26126,2.09572,0.75555,0.8254,0.85822,0.81131,0.71559,1.23029,1.66382,0.000643625,0.000643625,0.000643625
51,518.203,0.79024,1.20664,2.10163,0.75397,0.84824,0.84861,0.78938,0.82187,1.42843,1.80897,0.00063125,0.00063125,0.00063125
52,528.261,0.77535,1.21814,2.11105,0.78268,0.88279,0.86104,0.81375,0.75386,1.18657,1.74788,0.000618875,0.000618875,0.000618875
53,538.374,0.76589,1.23058,2.08321,0.86858,0.81794,0.87614,0.79812,0.86478,1.25971,1.79948,0.0006065,0.0006065,0.0006065
54,548.432,0.74568,1.25328,2.08511,0.81199,0.90533,0.90088,0.83216,0.89692,1.14739,1.86637,0.000594125,0.000594125,0.000594125
55,558.556,0.73839,1.25959,2.06901,0.8243,0.8505,0.86519,0.83326,0.65916,1.19163,1.6404,0.00058175,0.00058175,0.00058175
56,569.144,0.74591,1.24304,2.07605,0.81193,0.89453,0.88995,0.85048,0.65596,1.09304,1.66043,0.000569375,0.000569375,0.000569375
57,579.279,0.7315,1.2325,2.08635,0.78355,0.87956,0.88794,0.83624,0.74085,1.11767,1.73665,0.000557,0.000557,0.000557
58,589.359,0.77795,1.29686,2.11193,0.83912,0.77868,0.8724,0.81754,0.75202,1.11258,1.77777,0.000544625,0.000544625,0.000544625
59,599.487,0.72174,1.20898,2.05134,0.85711,0.92185,0.90535,0.82958,0.85022,0.96417,1.86533,0.00053225,0.00053225,0.00053225
60,609.573,0.69951,1.11946,2.07845,0.84239,0.81136,0.88283,0.82558,0.7112,1.14472,1.70431,0.000519875,0.000519875,0.000519875
61,619.692,0.77204,1.18667,2.09186,0.74515,0.90833,0.88235,0.78548,0.91934,1.14651,1.90082,0.0005075,0.0005075,0.0005075
62,629.796,0.74646,1.17597,2.06432,0.78851,0.83774,0.85901,0.77343,0.82213,1.27818,1.78904,0.000495125,0.000495125,0.000495125
63,639.943,0.72301,1.18542,2.06276,0.77977,0.82045,0.84778,0.76696,0.87292,1.39817,1.82345,0.00048275,0.00048275,0.00048275
64,650.06,0.70094,1.14822,2.0352,0.8575,0.8213,0.8876,0.82905,0.80753,1.18236,1.76021,0.000470375,0.000470375,0.000470375
65,660.171,0.74476,1.14765,2.08691,0.78896,0.78661,0.84356,0.80377,0.75209,1.33256,1.71419,0.000458,0.000458,0.000458
66,670.284,0.72324,1.15157,2.05309,0.84981,0.79975,0.86341,0.80278,0.82796,1.20608,1.74446,0.000445625,0.000445625,0.000445625
67,680.45,0.72919,1.09261,2.05281,0.77182,0.82871,0.87489,0.83621,0.71776,1.16782,1.71555,0.00043325,0.00043325,0.00043325
68,690.55,0.72517,1.10979,2.04824,0.72531,0.85803,0.86712,0.81736,0.85444,1.24101,1.89853,0.000420875,0.000420875,0.000420875
69,700.705,0.68891,1.10114,2.02124,0.81721,0.88369,0.89356,0.83825,0.78469,1.03494,1.76249,0.0004085,0.0004085,0.0004085
70,710.808,0.69467,1.14539,2.04249,0.78927,0.81947,0.89763,0.83685,0.75614,1.11636,1.74176,0.000396125,0.000396125,0.000396125
71,720.934,0.6967,1.11551,2.06041,0.88189,0.81714,0.9046,0.80311,0.84044,1.09104,1.76141,0.00038375,0.00038375,0.00038375
72,731.033,0.69584,1.09333,2.04959,0.85726,0.83419,0.90846,0.82109,0.86249,1.17598,1.83081,0.000371375,0.000371375,0.000371375
73,741.132,0.69165,1.04644,2.06501,0.82731,0.7991,0.8657,0.80739,0.76939,1.26054,1.74249,0.000359,0.000359,0.000359
74,751.195,0.70532,1.06102,2.05099,0.81285,0.87303,0.89563,0.85572,0.6688,1.05302,1.68772,0.000346625,0.000346625,0.000346625
75,761.355,0.69122,1.1232,2.03654,0.87094,0.85616,0.89652,0.84667,0.74266,1.03887,1.70444,0.00033425,0.00033425,0.00033425
76,771.437,0.69037,1.02926,2.04301,0.78042,0.8437,0.89372,0.82273,0.88031,1.22346,1.82952,0.000321875,0.000321875,0.000321875
77,781.591,0.71096,1.06933,2.08231,0.85039,0.82289,0.88853,0.84243,0.73463,1.05748,1.74099,0.0003095,0.0003095,0.0003095
78,791.702,0.67141,0.97377,2.01078,0.929,0.80056,0.92005,0.87163,0.65073,0.97796,1.65845,0.000297125,0.000297125,0.000297125
79,801.868,0.64941,1.02994,2.01203,0.79279,0.86664,0.90222,0.8473,0.76031,1.06922,1.75676,0.00028475,0.00028475,0.00028475
80,812.481,0.64739,1.04389,2.0139,0.79814,0.82538,0.8728,0.83924,0.6102,1.21292,1.58889,0.000272375,0.000272375,0.000272375
81,822.565,0.64897,0.98046,2.03071,0.75326,0.81157,0.86728,0.82304,0.71918,1.31473,1.69274,0.00026,0.00026,0.00026
82,832.641,0.67922,0.98315,2.02945,0.67476,0.82894,0.81772,0.78874,0.6799,1.37424,1.66965,0.000247625,0.000247625,0.000247625
83,842.766,0.66249,1.00439,2.00573,0.78635,0.83866,0.87265,0.83089,0.70894,1.15322,1.74841,0.00023525,0.00023525,0.00023525
84,852.86,0.65409,1.0188,2.03122,0.81217,0.74111,0.86138,0.83124,0.62158,1.12565,1.5593,0.000222875,0.000222875,0.000222875
85,862.97,0.6548,0.98722,2.02547,0.83338,0.85512,0.89417,0.86059,0.61334,1.00553,1.56994,0.0002105,0.0002105,0.0002105
86,873.043,0.63922,0.97346,2.00273,0.8601,0.78577,0.88617,0.84945,0.65396,1.07763,1.6254,0.000198125,0.000198125,0.000198125
87,883.148,0.63478,0.93257,2.00783,0.78648,0.85295,0.86133,0.82043,0.66417,1.1587,1.59417,0.00018575,0.00018575,0.00018575
88,893.263,0.64598,0.97173,2.01864,0.84381,0.79014,0.88889,0.8539,0.63684,1.08974,1.57157,0.000173375,0.000173375,0.000173375
89,903.409,0.65687,0.98285,2.02889,0.87653,0.82575,0.88224,0.83675,0.66493,1.13612,1.56573,0.000161,0.000161,0.000161
90,913.511,0.61689,0.95868,1.99391,0.78703,0.88343,0.89457,0.85072,0.64336,1.01544,1.57293,0.000148625,0.000148625,0.000148625
91,924.285,0.24726,0.73343,1.99466,0.8721,0.82984,0.9013,0.86968,0.57516,1.00411,1.52637,0.00013625,0.00013625,0.00013625
92,934.347,0.25145,0.71478,1.98168,0.84311,0.87127,0.9171,0.88562,0.55358,0.92202,1.50616,0.000123875,0.000123875,0.000123875
93,944.468,0.25184,0.66789,1.95782,0.86854,0.85668,0.9204,0.89537,0.53318,0.90435,1.48532,0.0001115,0.0001115,0.0001115
94,954.545,0.25472,0.6503,1.9689,0.80851,0.87717,0.90735,0.87239,0.59359,0.92555,1.53311,9.9125e-05,9.9125e-05,9.9125e-05
95,964.634,0.23677,0.55154,1.92775,0.88148,0.79909,0.90737,0.88298,0.53396,0.95001,1.48253,8.675e-05,8.675e-05,8.675e-05
96,974.683,0.23576,0.52344,1.95561,0.82067,0.89732,0.91416,0.89002,0.54753,0.9397,1.47517,7.4375e-05,7.4375e-05,7.4375e-05
97,984.779,0.22293,0.51377,1.95212,0.81828,0.87855,0.91387,0.88568,0.53771,0.94774,1.47715,6.2e-05,6.2e-05,6.2e-05
98,994.842,0.21095,0.54579,1.91721,0.88171,0.82194,0.91488,0.89232,0.50969,0.93355,1.44721,4.9625e-05,4.9625e-05,4.9625e-05
99,1004.94,0.23171,0.51957,1.96407,0.81385,0.92882,0.92578,0.90312,0.50176,0.90033,1.43172,3.725e-05,3.725e-05,3.725e-05
100,1015.02,0.21689,0.4554,1.94929,0.82637,0.89741,0.92244,0.89933,0.50226,0.90892,1.43007,2.4875e-05,2.4875e-05,2.4875e-05
