epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,460.179,0.36172,0.72124,1.03217,0.81964,0.82281,0.8847,0.81494,0.38008,0.67896,0.85234,0.00073025,0.00073025,0.00073025
44,470.855,0.35548,0.70743,1.03415,0.81718,0.89918,0.89666,0.81912,0.40059,0.67073,0.8774,0.000717875,0.000717875,0.000717875
45,481.379,0.3592,0.74457,1.04106,0.87903,0.87518,0.8963,0.79944,0.47664,0.71774,0.97622,0.0007055,0.0007055,0.0007055
46,492.026,0.36807,0.73953,1.03512,0.879,0.88057,0.90318,0.81239,0.41633,0.70265,0.85693,0.000693125,0.000693125,0.000693125
47,502.652,0.3611,0.73411,1.03409,0.87205,0.87519,0.89853,0.83571,0.33229,0.70481,0.75186,0.00068075,0.00068075,0.00068075
48,513.264,0.36926,0.74765,1.04189,0.87802,0.84508,0.91732,0.85262,0.33126,0.64417,0.75517,0.000668375,0.000668375,0.000668375
49,523.895,0.37022,0.74854,1.03865,0.79973,0.86351,0.89858,0.83592,0.34386,0.68618,0.77911,0.000656,0.000656,0.000656
50,534.503,0.35571,0.74169,1.04383,0.76804,0.86038,0.90491,0.82872,0.3827,0.65404,0.82016,0.000643625,0.000643625,0.000643625
51,545.012,0.33933,0.68291,1.03649,0.81936,0.86143,0.91463,0.8439,0.35307,0.77927,0.77721,0.00063125,0.00063125,0.00063125
52,555.607,0.34918,0.73692,1.03451,0.77261,0.85622,0.86758,0.81364,0.34633,0.74624,0.78018,0.000618875,0.000618875,0.000618875
53,566.18,0.33325,0.70234,1.01923,0.84348,0.87856,0.9098,0.83667,0.33012,0.64059,0.76506,0.0006065,0.0006065,0.0006065
54,576.812,0.35071,0.73604,1.03118,0.79201,0.82003,0.88248,0.81213,0.35536,0.63964,0.79398,0.000594125,0.000594125,0.000594125
55,587.37,0.3527,0.71476,1.01526,0.78755,0.86149,0.90505,0.83829,0.32355,0.64813,0.75483,0.00058175,0.00058175,0.00058175
56,597.937,0.34827,0.73367,1.02866,0.75559,0.86334,0.89587,0.83265,0.35773,0.75081,0.78276,0.000569375,0.000569375,0.000569375
