epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,426.071,1.32156,1.8333,2.42362,0.62876,0.59725,0.57786,0.50053,1.1889,2.66205,2.8209,0.000742625,0.000742625,0.000742625
43,436.132,1.29212,1.76833,2.40079,0.87333,0.84345,0.89822,0.77608,1.20311,1.12663,2.81038,0.00073025,0.00073025,0.00073025
44,446.192,1.34992,1.76808,2.4541,0.76648,0.78818,0.85674,0.74366,1.20822,1.49084,2.81364,0.000717875,0.000717875,0.000717875
45,456.27,1.29812,1.77726,2.42018,0.83916,0.78538,0.90467,0.78672,1.19698,1.1539,2.77867,0.0007055,0.0007055,0.0007055
46,466.332,1.33944,1.79485,2.43996,0.60707,0.52474,0.65186,0.41011,2.79425,2.31069,5.96226,0.000693125,0.000693125,0.000693125
47,476.412,1.29541,1.7493,2.399,0.66384,0.62789,0.72613,0.49067,2.62969,2.04415,5.05821,0.00068075,0.00068075,0.00068075
48,486.472,1.28726,1.66732,2.38563,0.71496,0.76834,0.84465,0.73348,1.17716,1.51188,2.81696,0.000668375,0.000668375,0.000668375
49,496.561,1.28656,1.66883,2.39677,0.80088,0.78258,0.88384,0.76204,1.19898,1.22929,2.84539,0.000656,0.000656,0.000656
50,506.577,1.272,1.66671,2.36645,0.80328,0.76031,0.89964,0.77899,1.15614,1.37155,2.74182,0.000643625,0.000643625,0.000643625
51,516.63,1.3073,1.71679,2.40602,0.84573,0.7293,0.86268,0.74469,1.16879,1.26089,2.79435,0.00063125,0.00063125,0.00063125
52,526.696,1.29508,1.68752,2.43708,0.75853,0.7455,0.86686,0.75201,1.18235,1.38462,2.78131,0.000618875,0.000618875,0.000618875
53,536.774,1.27374,1.63264,2.40255,0.39798,0.44192,0.34671,0.09427,5.21519,3.88331,10.0582,0.0006065,0.0006065,0.0006065
54,546.849,1.27635,1.66448,2.40703,0.6839,0.75387,0.81634,0.70617,1.16954,1.80037,2.76866,0.000594125,0.000594125,0.000594125
55,556.925,1.27974,1.68804,2.40226,0.81887,0.71636,0.84836,0.73508,1.17812,1.65681,2.78091,0.00058175,0.00058175,0.00058175
56,567.494,1.24385,1.68472,2.38456,0.38625,0.54526,0.46686,0.27217,3.72005,3.49441,8.80731,0.000569375,0.000569375,0.000569375
57,577.585,1.29606,1.69287,2.41291,0.80895,0.81011,0.90433,0.78766,1.14526,1.13581,2.72828,0.000557,0.000557,0.000557
58,587.676,1.27394,1.65955,2.41008,0.77123,0.82833,0.89947,0.78161,1.17923,1.27702,2.75843,0.000544625,0.000544625,0.000544625
59,597.741,1.23845,1.63393,2.36815,0.92278,0.8038,0.92829,0.81542,1.16022,1.00708,2.74174,0.00053225,0.00053225,0.00053225
60,607.809,1.24262,1.57412,2.36022,0.83998,0.84688,0.90911,0.79062,1.17241,1.15645,2.74519,0.000519875,0.000519875,0.000519875
61,617.882,1.26564,1.59199,2.37566,0.76503,0.5921,0.78879,0.58923,2.19294,1.80265,4.53825,0.0005075,0.0005075,0.0005075
62,627.914,1.23409,1.51523,2.38769,0.86951,0.82953,0.91222,0.79402,1.15533,1.21811,2.71548,0.000495125,0.000495125,0.000495125
63,637.993,1.22866,1.50426,2.36076,0.6235,0.44318,0.57514,0.40034,2.80459,3.54952,6.22818,0.00048275,0.00048275,0.00048275
64,648.046,1.26309,1.60175,2.37126,0.74069,0.83726,0.87332,0.75258,1.20457,1.74594,2.78924,0.000470375,0.000470375,0.000470375
65,658.119,1.26888,1.60011,2.40407,0.80039,0.78937,0.85672,0.7453,1.14948,1.37454,2.73714,0.000458,0.000458,0.000458
